Name;n_estimators;max_depth;min_samples_split;max_features;Weighted accuracy;Precision class 0;Precision class 1;Recall class 0;Recall class 1;F1 class 0;F1 class 1;F-Beta
Random Forest;12;2;0.36787944117144233;0.4;0.00043633330815288934;0.7703324808184143;0.001705109126984127;0.0006561448224030324;0.0002165217939027463;0.0006555864146475243;0.0001921249720545495;0.0002623244810744811
Random Forest;12;2;0.1353352832366127;0.4;0.00046210864227130626;0.808695652173913;0.002003205128205128;0.000625370831850006;0.0002988464526926065;0.0006248876012576802;0.000260050969990118;0.00036012676462114667
Random Forest;12;2;0.049787068367863944;0.4;0.00046210864227130626;0.808695652173913;0.002003205128205128;0.000625370831850006;0.0002988464526926065;0.0006248876012576802;0.000260050969990118;0.00036012676462114667
Random Forest;12;2;0.36787944117144233;0.5;0.0005645995765444225;0.871611253196931;0.002595514950166113;0.0005773288646814324;0.0005518702884074127;0.0005769467126734268;0.00045510399126200336;0.0006550195457832462
Random Forest;12;2;0.36787944117144233;0.6;0.000563114392240912;0.8736572890025576;0.002542372881355932;0.0005746631424249438;0.0005515656420568802;0.0005742853963056771;0.00045323639110523574;0.0006539865932748377
Random Forest;12;2;0.1353352832366127;0.5;0.0005662756631982621;0.8721227621483376;0.0026041666666666665;0.0005769957708409688;0.0005555555555555556;0.0005766142832599911;0.0004578754578754579;0.0006592827004219409
Random Forest;12;2;0.36787944117144233;0.7;0.000563114392240912;0.8736572890025576;0.002542372881355932;0.0005746631424249438;0.0005515656420568802;0.0005742853963056771;0.00045323639110523574;0.0006539865932748377
Random Forest;12;2;0.1353352832366127;0.7;0.0005589114696507589;0.8710997442455243;0.002543604651162791;0.0005769900566622531;0.0005408328826392645;0.0005766081289218579;0.00044600191143676337;0.0006419191548675812
Random Forest;12;2;0.36787944117144233;0.9;0.000559743240008972;0.8726342710997442;0.0025252525252525255;0.0005753243196941675;0.0005441621603237766;0.0005749452605604064;0.00044769019838271926;0.0006454319553361087
Random Forest;12;2;0.36787944117144233;0.8;0.000559743240008972;0.8726342710997442;0.0025252525252525255;0.0005753243196941675;0.0005441621603237766;0.0005749452605604064;0.00044769019838271926;0.0006454319553361087
Random Forest;12;2;0.1353352832366127;0.6;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.1353352832366127;0.8;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.049787068367863944;0.5;0.0005662756631982621;0.8721227621483376;0.0026041666666666665;0.0005769957708409688;0.0005555555555555556;0.0005766142832599911;0.0004578754578754579;0.0006592827004219409
Random Forest;12;2;0.01831563888873418;0.4;0.00046210864227130626;0.808695652173913;0.002003205128205128;0.000625370831850006;0.0002988464526926065;0.0006248876012576802;0.000260050969990118;0.00036012676462114667
Random Forest;12;2;0.1353352832366127;0.9;0.0005589114696507589;0.8710997442455243;0.002543604651162791;0.0005769900566622531;0.0005408328826392645;0.0005766081289218579;0.00044600191143676337;0.0006419191548675812
Random Forest;12;2;0.049787068367863944;0.6;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.049787068367863944;0.7;0.0005589114696507589;0.8710997442455243;0.002543604651162791;0.0005769900566622531;0.0005408328826392645;0.0005766081289218579;0.00044600191143676337;0.0006419191548675812
Random Forest;12;2;0.01831563888873418;0.5;0.0005662756631982621;0.8721227621483376;0.0026041666666666665;0.0005769957708409688;0.0005555555555555556;0.0005766142832599911;0.0004578754578754579;0.0006592827004219409
Random Forest;12;2;0.01831563888873418;0.6;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.006737946999085467;0.4;0.00046210864227130626;0.808695652173913;0.002003205128205128;0.000625370831850006;0.0002988464526926065;0.0006248876012576802;0.000260050969990118;0.00036012676462114667
Random Forest;12;2;0.049787068367863944;0.8;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.049787068367863944;0.9;0.0005589114696507589;0.8710997442455243;0.002543604651162791;0.0005769900566622531;0.0005408328826392645;0.0005766081289218579;0.00044600191143676337;0.0006419191548675812
Random Forest;12;2;0.01831563888873418;0.7;0.0005589114696507589;0.8710997442455243;0.002543604651162791;0.0005769900566622531;0.0005408328826392645;0.0005766081289218579;0.00044600191143676337;0.0006419191548675812
Random Forest;12;2;0.006737946999085467;0.5;0.0005662756631982621;0.8721227621483376;0.0026041666666666665;0.0005769957708409688;0.0005555555555555556;0.0005766142832599911;0.0004578754578754579;0.0006592827004219409
Random Forest;12;2;0.01831563888873418;0.8;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.006737946999085467;0.6;0.0005548261381453088;0.8710997442455243;0.0025;0.0005763189429572843;0.0005333333333333334;0.0005759379028690703;0.0004395604395604396;0.0006329113924050633
Random Forest;12;2;0.0024787521766663585;0.4;0.00046210864227130626;0.808695652173913;0.002003205128205128;0.000625370831850006;0.0002988464526926065;0.0006248876012576802;0.000260050969990118;0.00036012676462114667
